attack_type,model,tpr,fpr,f1-score
代码执行,GPT-5.1 Chat,1.0,0.553191,0.940909 
代码执行,Gemini 3 Flash,1.0,0.72,0.914286 
代码执行,Claude Sonnet 4.5,1.0,0.981818,0.872642 
代码执行,Kimi-K2-Instruct,0.995169,0.75,0.911504 
代码执行,Qwen3-235B-A22B-Instruct,1.0,0.921569,0.894382 
代码执行,DeepSeek-V3.1,0.989848,0.815789,0.921986 
代码执行,GLM-4.7,1.0,0.714286,0.923077 
敏感信息泄漏,GPT-5.1 Chat,0.901163,0.186047,0.925373 
敏感信息泄漏,Gemini 3 Flash,0.883978,0.078947,0.930233 
敏感信息泄漏,Claude Sonnet 4.5,0.907609,0.290323,0.927778 
敏感信息泄漏,Kimi-K2-Instruct,0.605556,0.066667,0.746575 
敏感信息泄漏,Qwen3-235B-A22B-Instruct,0.770053,0.166667,0.854599 
敏感信息泄漏,DeepSeek-V3.1,0.492147,0.088235,0.652778 
敏感信息泄漏,GLM-4.7,0.513661,0.157895,0.664311 
目录遍历,GPT-5.1 Chat,1.0,0.32,0.979058 
目录遍历,Gemini 3 Flash,1.0,0.066667,0.994924 
目录遍历,Claude Sonnet 4.5,1.0,0.192308,0.987406 
目录遍历,Kimi-K2-Instruct,1.0,0.28,0.980609 
目录遍历,Qwen3-235B-A22B-Instruct,1.0,0.272727,0.984694 
目录遍历,DeepSeek-V3.1,0.978142,0.24,0.972826 
目录遍历,GLM-4.7,1.0,0.190476,0.989011 
SQL注入,GPT-5.1 Chat,1.0,0.548701,0.124352 
SQL注入,Gemini 3 Flash,1.0,0.246468,0.241546 
SQL注入,Claude Sonnet 4.5,1.0,0.695024,0.096033 
SQL注入,Kimi-K2-Instruct,1.0,0.04878,0.5 
SQL注入,Qwen3-235B-A22B-Instruct,1.0,0.608766,0.09201 
SQL注入,DeepSeek-V3.1,1.0,0.335975,0.123967 
SQL注入,GLM-4.7,1.0,0.411111,0.133779 
非授权访问/权限绕过,GPT-5.1 Chat,0.807692,0.769231,0.736842 
非授权访问/权限绕过,Gemini 3 Flash,0.846154,0.333333,0.830189 
非授权访问/权限绕过,Claude Sonnet 4.5,0.8,0.625,0.727273 
非授权访问/权限绕过,Kimi-K2-Instruct,0.173913,0.0,0.296296 
非授权访问/权限绕过,Qwen3-235B-A22B-Instruct,0.333333,0.4375,0.4 
非授权访问/权限绕过,DeepSeek-V3.1,0.066667,0.0,0.125 
非授权访问/权限绕过,GLM-4.7,0.24,0.25,0.352941
